#Parameters = {a=0.5; d=0.035; h=9; p=3; phi=0; r_1=2; r_2=2.7; s=0.2; t=0.2; theta=0; w=12}
#"Frequency / GHz"	"VSWR0(1) [Magnitude]"
#----------------------------------------
2.7000000000000	2.5293402441544
2.7100000000000	2.4990640213152
2.7200000000000	2.4694373185620
2.7300000000000	2.4404442503052
2.7400000000000	2.4120693904513
2.7500000000000	2.3842977587479
2.7600000000000	2.3571148075799
2.7700000000000	2.3305064092015
2.7800000000000	2.3044588433912
2.7900000000000	2.2789587855160
2.8000000000000	2.2539932949905
2.8100000000000	2.2295498041209
2.8200000000000	2.2056161073187
2.8300000000000	2.1821803506751
2.8400000000000	2.1592310218822
2.8500000000000	2.1367569404919
2.8600000000000	2.1147472485014
2.8700000000000	2.0931914012538
2.8800000000000	2.0720791586457
2.8900000000000	2.0514005766310
2.9000000000000	2.0311459990115
2.9100000000000	2.0113060495058
2.9200000000000	1.9918716240880
2.9300000000000	1.9728338835863
2.9400000000000	1.9541842465348
2.9500000000000	1.9359143822701
2.9600000000000	1.9180162042643
2.9700000000000	1.9004818636873
2.9800000000000	1.8833037431911
2.9900000000000	1.8664744509088
3.0000000000000	1.8499868146611
3.0100000000000	1.8338338763635
3.0200000000000	1.8180088866279
3.0300000000000	1.8025052995505
3.0400000000000	1.7873167676815
3.0500000000000	1.7724371371679
3.0600000000000	1.7578604430653
3.0700000000000	1.7435809048094
3.0800000000000	1.7295929218438
3.0900000000000	1.7158910693950
3.1000000000000	1.7024700943902
3.1100000000000	1.6893249115099
3.1200000000000	1.6764505993691
3.1300000000000	1.6638423968210
3.1400000000000	1.6514956993746
3.1500000000000	1.6394060557215
3.1600000000000	1.6275691643622
3.1700000000000	1.6159808703257
3.1800000000000	1.6046371619748
3.1900000000000	1.5935341678880
3.2000000000000	1.5826681538100
3.2100000000000	1.5720355196631
3.2200000000000	1.5616327966084
3.2300000000000	1.5514566441489
3.2400000000000	1.5415038472634
3.2500000000000	1.5317713135623
3.2600000000000	1.5222560704525
3.2700000000000	1.5129552623017
3.2800000000000	1.5038661475898
3.2900000000000	1.4949860960346
3.3000000000000	1.4863125856811
3.3100000000000	1.4778431999382
3.3200000000000	1.4695756245533
3.3300000000000	1.4615076445075
3.3400000000000	1.4536371408210
3.3500000000000	1.4459620872515
3.3600000000000	1.4384805468744
3.3700000000000	1.4311906685295
3.3800000000000	1.4240906831214
3.3900000000000	1.4171788997606
3.4000000000000	1.4104537017334
3.4100000000000	1.4039135422890
3.4200000000000	1.3975569402346
3.4300000000000	1.3913824753302
3.4400000000000	1.3853887834759
3.4500000000000	1.3795745516892
3.4600000000000	1.3739385128694
3.4700000000000	1.3684794403514
3.4800000000000	1.3631961422534
3.4900000000000	1.3580874556270
3.5000000000000	1.3531522404225
3.5100000000000	1.3483893732859
3.5200000000000	1.3437977412086
3.5300000000000	1.3393762350559
3.5400000000000	1.3351237430061
3.5500000000000	1.3310391439337
3.5600000000000	1.3271213007784
3.5700000000000	1.3233690539442
3.5800000000000	1.3197812147771
3.5900000000000	1.3163565591729
3.6000000000000	1.3130938213723
3.6100000000000	1.3099916879984
3.6200000000000	1.3070487923961
3.6300000000000	1.3042637093331
3.6400000000000	1.3016349501179
3.6500000000000	1.2991609581940
3.6600000000000	1.2968401052603
3.6700000000000	1.2946706879664
3.6800000000000	1.2926509252266
3.6900000000000	1.2907789561869
3.7000000000000	1.2890528388734
3.7100000000000	1.2874705495424
3.7200000000000	1.2860299827416
3.7300000000000	1.2847289520846
3.7400000000000	1.2835651917276
3.7500000000000	1.2825363585327
3.7600000000000	1.2816400348875
3.7700000000000	1.2808737321449
3.7800000000000	1.2802348946395
3.7900000000000	1.2797209042266
3.8000000000000	1.2793290852875
3.8100000000000	1.2790567101386
3.8200000000000	1.2789010047761
3.8300000000000	1.2788591548904
3.8400000000000	1.2789283120804
3.8500000000000	1.2791056001973
3.8600000000000	1.2793881217547
3.8700000000000	1.2797729643366
3.8800000000000	1.2802572069465
3.8900000000000	1.2808379262393
3.9000000000000	1.2815122025859
3.9100000000000	1.2822771259258
3.9200000000000	1.2831298013682
3.9300000000000	1.2840673545071
3.9400000000000	1.2850869364258
3.9500000000000	1.2861857283664
3.9600000000000	1.2873609460515
3.9700000000000	1.2886098436464
3.9800000000000	1.2899297173564
3.9900000000000	1.2913179086601
4.0000000000000	1.2927718071800
4.0100000000000	1.2942888531993
4.0200000000000	1.2958665398331
4.0300000000000	1.2975024148682
4.0400000000000	1.2991940822851
4.0500000000000	1.3009392034788
4.0600000000000	1.3027354981961
4.0700000000000	1.3045807452078
4.0800000000000	1.3064727827336
4.0900000000000	1.3084095086412
4.1000000000000	1.3103888804355
4.1100000000000	1.3124089150597
4.1200000000000	1.3144676885240
4.1300000000000	1.3165633353815
4.1400000000000	1.3186940480670
4.1500000000000	1.3208580761157
4.1600000000000	1.3230537252761
4.1700000000000	1.3252793565320
4.1800000000000	1.3275333850469
4.1900000000000	1.3298142790434
4.2000000000000	1.3321205586275
4.2100000000000	1.3344507945704
4.2200000000000	1.3368036070565
4.2300000000000	1.3391776644046
4.2400000000000	1.3415716817734
4.2500000000000	1.3439844198555
4.2600000000000	1.3464146835673
4.2700000000000	1.3488613207403
4.2800000000000	1.3513232208191
4.2900000000000	1.3537993135693
4.3000000000000	1.3562885678002
4.3100000000000	1.3587899901050
4.3200000000000	1.3613026236212
4.3300000000000	1.3638255468140
4.3400000000000	1.3663578722836
4.3500000000000	1.3688987455999
4.3600000000000	1.3714473441635
4.3700000000000	1.3740028760961
4.3800000000000	1.3765645791596
4.3900000000000	1.3791317197056
4.4000000000000	1.3817035916542
4.4100000000000	1.3842795155044
4.4200000000000	1.3868588373729
4.4300000000000	1.3894409280654
4.4400000000000	1.3920251821758
4.4500000000000	1.3946110172160
4.4600000000000	1.3971978727751
4.4700000000000	1.3997852097066
4.4800000000000	1.4023725093439
4.4900000000000	1.4049592727442
4.5000000000000	1.4075450199578
4.5100000000000	1.4101292893252
4.5200000000000	1.4127116367983
4.5300000000000	1.4152916352879
4.5400000000000	1.4178688740337
4.5500000000000	1.4204429579996
4.5600000000000	1.4230135072894
4.5700000000000	1.4255801565868
4.5800000000000	1.4281425546144
4.5900000000000	1.4307003636151
4.6000000000000	1.4332532588518
4.6100000000000	1.4358009281271
4.6200000000000	1.4383430713211
4.6300000000000	1.4408793999467
4.6400000000000	1.4434096367225
4.6500000000000	1.4459335151618
4.6600000000000	1.4484507791774
4.6700000000000	1.4509611827018
4.6800000000000	1.4534644893223
4.6900000000000	1.4559604719292
4.7000000000000	1.4584489123789
4.7100000000000	1.4609296011690
4.7200000000000	1.4634023371261
4.7300000000000	1.4658669271061
4.7400000000000	1.4683231857053
4.7500000000000	1.4707709349833
4.7600000000000	1.4732100041957
4.7700000000000	1.4756402295379
4.7800000000000	1.4780614538979
4.7900000000000	1.4804735266193
4.8000000000000	1.4828763032724
4.8100000000000	1.4852696454349
4.8200000000000	1.4876534204801
4.8300000000000	1.4900275013737
4.8400000000000	1.4923917664781
4.8500000000000	1.4947460993636
4.8600000000000	1.4970903886273
4.8700000000000	1.4994245277183
4.8800000000000	1.5017484147699
4.8900000000000	1.5040619524375
4.9000000000000	1.5063650477426
4.9100000000000	1.5086576119228
4.9200000000000	1.5109395602874
4.9300000000000	1.5132108120776
4.9400000000000	1.5154712903327
4.9500000000000	1.5177209217607
4.9600000000000	1.5199596366132
4.9700000000000	1.5221873685659
4.9800000000000	1.5244040546024
4.9900000000000	1.5266096349025
5.0000000000000	1.5288040527347
5.0100000000000	1.5309872543525
5.0200000000000	1.5331591888939
5.0300000000000	1.5353198082850
5.0400000000000	1.5374690671469
5.0500000000000	1.5396069227057
5.0600000000000	1.5417333347057
5.0700000000000	1.5438482653259
5.0800000000000	1.5459516790987
5.0900000000000	1.5480435428324
5.1000000000000	1.5501238255357
5.1100000000000	1.5521924983448
5.1200000000000	1.5542495344534
5.1300000000000	1.5562949090448
5.1400000000000	1.5583285992263
5.1500000000000	1.5603505839660
5.1600000000000	1.5623608440315
5.1700000000000	1.5643593619310
5.1800000000000	1.5663461218561
5.1900000000000	1.5683211096266
5.2000000000000	1.5702843126370
